tensor(0.2995961010, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3033218086, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3058547080, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3060471117, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3048425317, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3014636338, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2988840938, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3004258275, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3017277718, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3044758439, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3025065064, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3004577160, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3066466153, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3013453782, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3025116920, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3016101420, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3008710742, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3020908833, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3047045469, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2995954156, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3027804792, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3018476069, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3044888079, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3053305447, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3015894592, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3026165366, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3001275063, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3060560822, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2999047041, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3026670814, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3028839827, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3073235452, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3022887707, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3022916913, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3007427454, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3052380085, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3027561903, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3053987920, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2992332578, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2978944778, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3001559079, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3014082909, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2994432151, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2984637320, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2970714569, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2997883558, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3013445735, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2975619435, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2965562046, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2975843549, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3016188741, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2933076918, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2972279787, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3004813492, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3040792048, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2990408838, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3004941344, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3018330038, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3041122258, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2980076075, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3023135066, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3049345911, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2989709973, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3008286357, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3024644256, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2973829508, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2999620140, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3003839552, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2966387868, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3064807951, device='cuda:1', grad_fn=<DivBackward0>)
